endTime,artistName,trackName,msPlayed
2019-06-11 10:06,Babasónicos,Los Calientes,2229
2019-06-11 10:06,La Zimbabwe,Loco de Atar,1950
2019-06-11 10:06,Sumo,Los Viejos Vinagres,75259
2019-06-11 10:06,Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji,2600
2019-06-11 10:07,Los Abuelos De La Nada,Cosas Mías - Remastered Version,19504
2019-06-11 10:07,Fito Paez,Tráfico por Katmandú,3715
2019-06-11 10:07,Bersuit Vergarabat,La Soledad,19597
2019-06-11 10:53,La Portuaria,A Través De Tus Ojos,29257
2019-06-11 10:53,Los Rodriguez,"Palabras más, palabras menos",952
2019-06-11 10:53,Blitz,A Dois Passos Do Paraíso,238
2019-06-11 11:39,Tan Bionica,Dominguicidio,1068
2019-06-11 11:39,Serú Girán,Perro Andaluz,975
2019-06-11 11:39,Juan Carlos Baglietto,Era En Abril,1091
2019-06-11 11:39,La Franela,Fue Tan Bueno,1068
2019-06-11 11:39,Los Rodriguez,Me estás atrapando otra vez - Edición Aniversario,1369
2019-06-11 11:39,Vicentico,Solo un Momento,835
2019-06-11 11:43,Los Tipitos,Campanas en la Noche,237546
2019-06-11 11:47,Fito Paez,Tema de Piluso,250933
2019-06-11 11:52,Piero,Mi Viejo,7534
2019-06-11 11:52,Los Pericos,Casi Nunca Lo Ves (En Vivo) (feat. Ciro y Los Persas),296120
2019-06-11 11:53,Los Rodriguez,Mucho mejor (feat. Coque Malla),37987
2019-06-11 11:56,Los Abuelos De La Nada,Costumbres Argentinas - En Vivo,197933
2019-06-11 12:02,Virus,Luna de Miel en la Mano,316426
2019-06-11 12:05,Gustavo Cerati,Deja Vu,204920
2019-06-11 12:06,La Zimbabwe,Traición A La Mexicana,31500
2019-06-11 12:06,Andrés Calamaro,El salmón,9938
2019-06-11 12:10,Bersuit Vergarabat,Sr. Cobranza,2159
2019-06-11 12:10,Los Pericos,Pupilas Lejanas,119327
2019-06-11 12:10,Soda Stereo,Cuando Pase El Temblor - Remasterizado 2007,0
2019-06-11 12:11,Los Tipitos,Apostar al Amor,18250
2019-06-11 12:15,Los Tipitos,Apostar al Amor,242540
2019-06-11 12:18,Los Auténticos Decadentes,Loco (Tu Forma De Ser),145399
2019-06-11 18:22,Los Auténticos Decadentes,Loco (Tu Forma De Ser),310311
2019-06-11 18:22,La Beriso,Pensamientos,1068
2019-06-11 18:27,Andrés Calamaro,La parte de adelante,261626
2019-06-11 18:30,Los Rodriguez,Milonga del marinero y el capitán,206240
2019-06-11 18:35,Los Fabulosos Cadillacs,Calaveras y Diablitos,264026
2019-06-11 18:38,Los Fabulosos Cadillacs,Yo No Me Sentaría En Tu Mesa - Remasterizado 2008,157811
2019-06-11 18:38,Soda Stereo,Persiana Americana - Remasterizado 2007,928
2019-06-11 18:39,Soda Stereo,En La Ciudad De La Furia - Remasterizado 2007,673
2019-06-11 18:39,La Torre,Sólo Quiero Rock and Roll,1137
2019-06-11 18:42,Sui Generis,Canción para Mi Muerte,215893
2019-06-11 18:42,La Torre,Sólo Quiero Rock and Roll,3801
2019-06-11 18:45,Catupecu Machu,A Veces Vuelvo,183660
2019-06-11 21:02,Eric Johnson,Cliffs of Dover - Live,216897
2019-06-12 13:46,Blues Traveler,Run-Around,280040
2019-06-12 13:48,Jimi Hendrix,Purple Haze,108324
2019-06-12 13:53,R.E.M.,Losing My Religion,268426
